normalize,feature preprocessing,mlfs.igmf_adapted.PyIT_IGMF,mlfs.igmf_adapted.PyIT_IGMF-n_features,mlfs.ppt_mi_adapted.PyIT_PPT_MI,mlfs.ppt_mi_adapted.PyIT_PPT_MI-n_features,mlfs.scls_adapted.PyIT_SCLS,mlfs.scls_adapted.PyIT_SCLS-n_features,mlfs.lrfs_adapted.PyIT_LRFS,mlfs.lrfs_adapted.PyIT_LRFS-n_features,mlfs.lsmfs_adapted.PyIT_LSMFS,mlfs.lsmfs_adapted.PyIT_LSMFS-n_features,mlfs.mlsmfs_adapted.PyIT_MLSMFS,mlfs.mlsmfs_adapted.PyIT_MLSMFS-n_features,mlfs.d2f_adapted.PyIT_D2F,mlfs.d2f_adapted.PyIT_D2F-n_features,mlfs.pmu_adapted.PyIT_PMU,mlfs.pmu_adapted.PyIT_PMU-n_features,mlfs.mdmr_adapted.PyIT_MDMR,mlfs.mdmr_adapted.PyIT_MDMR-n_features,sklearn.feature_selection.SelectFromModel,sklearn.feature_selection.SelectFromModel-estimator,sklearn.feature_selection.SelectFromModel-threshold,sklearn.feature_selection.RFE,sklearn.feature_selection.RFE-estimator,sklearn.feature_selection.RFE-n_features_to_select,mlfs.br_skb.BR_SelectKBest,mlfs.br_skb.BR_SelectKBest-n_features,mlfs.br_skb.BR_SelectKBest-method,mlfs.ppt_skb.PPT_SelectKBest,mlfs.ppt_skb.PPT_SelectKBest-n_features,mlfs.ppt_skb.PPT_SelectKBest-method,mlfs.br_relieff.BR_ReliefF,mlfs.br_relieff.BR_ReliefF-n_features,mlfs.br_relieff.BR_ReliefF-neighbors,mlfs.ppt_relieff.PPT_ReliefF,mlfs.ppt_relieff.PPT_ReliefF-n_features,mlfs.ppt_relieff.PPT_ReliefF-neighbors,mlfs.ppt_sfm.PPT_SelectFromModel,mlfs.ppt_sfm.PPT_SelectFromModel-n_features,mlfs.ppt_sfm.PPT_SelectFromModel-estimator,mlfs.ppt_rfe.PPT_RecursiveFeatureElimination,mlfs.ppt_rfe.PPT_RecursiveFeatureElimination-n_features,mlfs.ppt_rfe.PPT_RecursiveFeatureElimination-estimator,meka.classifiers.multilabel.MULAN.MLkNN,meka.classifiers.multilabel.MULAN.MLkNN-numOfNeighbors,meka.classifiers.multilabel.MULAN.HOMER,meka.classifiers.multilabel.MULAN.HOMER-method,meka.classifiers.multilabel.MULAN.HOMER-clusters,meka.classifiers.multilabel.MULAN.HOMER-mll,meka.classifiers.multilabel.MULAN.ECC,meka.classifiers.multilabel.BPNN,meka.classifiers.multilabel.BPNN-E,meka.classifiers.multilabel.BPNN-H,meka.classifiers.multilabel.BPNN-r,meka.classifiers.multilabel.BPNN-m,meka.classifiers.multilabel.BR,meka.classifiers.multilabel.CC,meka.classifiers.multilabel.RAkEL,meka.classifiers.multilabel.RAkEL-N,meka.classifiers.multilabel.RAkEL-P,meka.classifiers.multilabel.RAkEL-k,meka.classifiers.multilabel.RAkEL-M,meka.classifiers.multilabel.LC,meka.classifiers.multilabel.BCC,meka.classifiers.multilabel.BCC-X,meka.classifiers.multilabel.BRq,meka.classifiers.multilabel.BRq-P,meka.classifiers.multilabel.FW,meka.classifiers.multilabel.MCC,meka.classifiers.multilabel.MCC-Iy,meka.classifiers.multilabel.MCC-Is,meka.classifiers.multilabel.MCC-P,meka.classifiers.multilabel.PCC,meka.classifiers.multilabel.PS,meka.classifiers.multilabel.PS-P,meka.classifiers.multilabel.PS-N,meka.classifiers.multilabel.PSt,meka.classifiers.multilabel.PSt-P,meka.classifiers.multilabel.PSt-N,meka.classifiers.multilabel.RAkELd,meka.classifiers.multilabel.RAkELd-P,meka.classifiers.multilabel.RAkELd-N,meka.classifiers.multilabel.RAkELd-batch-size,meka.classifiers.multilabel.RT,meka.classifiers.multilabel.CT,meka.classifiers.multilabel.CT-X,meka.classifiers.multilabel.CT-Iy,meka.classifiers.multilabel.CT-Is,meka.classifiers.multilabel.CT-P,meka.classifiers.multilabel.CT-H,meka.classifiers.multilabel.CT-L,meka.classifiers.multilabel.CDN,meka.classifiers.multilabel.CDN-Ic,meka.classifiers.multilabel.CDN-I,meka.classifiers.multilabel.CDT,meka.classifiers.multilabel.CDT-H,meka.classifiers.multilabel.CDT-X,meka.classifiers.multilabel.CDT-I,meka.classifiers.multilabel.CDT-Ic,meka.classifiers.multilabel.CDT-L,meka.classifiers.multilabel.PMCC,meka.classifiers.multilabel.PMCC-Iy,meka.classifiers.multilabel.PMCC-Is,meka.classifiers.multilabel.PMCC-B,meka.classifiers.multilabel.PMCC-O,meka.classifiers.multilabel.PMCC-M,meka.classifiers.multilabel.PMCC-P,weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.NaiveBayes-K,weka.classifiers.bayes.NaiveBayes-D,weka.classifiers.rules.PART,weka.classifiers.rules.PART-M,weka.classifiers.rules.PART-B,weka.classifiers.rules.PART-R,weka.classifiers.rules.PART-N,weka.classifiers.trees.J48,weka.classifiers.trees.J48-M,weka.classifiers.trees.J48-B,weka.classifiers.trees.J48-J,weka.classifiers.trees.J48-A,weka.classifiers.trees.J48-U,weka.classifiers.trees.J48-C,weka.classifiers.trees.J48-O,weka.classifiers.trees.J48-S,weka.classifiers.lazy.IBk,weka.classifiers.lazy.IBk-K,weka.classifiers.lazy.IBk-X,weka.classifiers.lazy.IBk-I,weka.classifiers.lazy.IBk-F,weka.classifiers.functions.SMO,weka.classifiers.functions.SMO-C,weka.classifiers.functions.SMO-N,weka.classifiers.functions.SMO-M,weka.classifiers.functions.SMO-K,weka.classifiers.rules.JRip,weka.classifiers.rules.JRip-N,weka.classifiers.rules.JRip-E,weka.classifiers.rules.JRip-P,weka.classifiers.rules.JRip-O,weka.classifiers.functions.Logistic,weka.classifiers.functions.Logistic-R,weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.BayesNet-D,weka.classifiers.bayes.BayesNet-Q,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomForest-I,weka.classifiers.trees.RandomForest-K,weka.classifiers.trees.RandomForest-depth,weka.classifiers.rules.DecisionTable,weka.classifiers.rules.DecisionTable-E,weka.classifiers.rules.DecisionTable-I,weka.classifiers.rules.DecisionTable-S,weka.classifiers.rules.DecisionTable-X,weka.classifiers.lazy.KStar,weka.classifiers.lazy.KStar-B,weka.classifiers.lazy.KStar-E,weka.classifiers.lazy.KStar-M,weka.classifiers.trees.LMT,weka.classifiers.trees.LMT-M,weka.classifiers.trees.LMT-B,weka.classifiers.trees.LMT-R,weka.classifiers.trees.LMT-C,weka.classifiers.trees.LMT-P,weka.classifiers.trees.LMT-W,weka.classifiers.trees.LMT-A,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.MultilayerPerceptron-L,weka.classifiers.functions.MultilayerPerceptron-M,weka.classifiers.functions.MultilayerPerceptron-H,weka.classifiers.functions.MultilayerPerceptron-B,weka.classifiers.functions.MultilayerPerceptron-R,weka.classifiers.functions.MultilayerPerceptron-D,weka.classifiers.trees.REPTree,weka.classifiers.trees.REPTree-M,weka.classifiers.trees.REPTree-L,weka.classifiers.trees.REPTree-P,weka.classifiers.functions.SGD,weka.classifiers.functions.SGD-F,weka.classifiers.functions.SGD-L,weka.classifiers.functions.SGD-R,weka.classifiers.functions.SGD-N,weka.classifiers.functions.SGD-M,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomTree-M,weka.classifiers.trees.RandomTree-K,weka.classifiers.trees.RandomTree-depth,weka.classifiers.trees.RandomTree-N,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.SimpleLogistic-W,weka.classifiers.functions.SimpleLogistic-S,weka.classifiers.functions.SimpleLogistic-A,weka.classifiers.functions.VotedPerceptron,weka.classifiers.functions.VotedPerceptron-I,weka.classifiers.functions.VotedPerceptron-M,weka.classifiers.functions.VotedPerceptron-E,weka.classifiers.functions.supportVector.PolyKernel,weka.classifiers.functions.supportVector.PolyKernel-E,weka.classifiers.functions.supportVector.PolyKernel-L,weka.classifiers.functions.supportVector.NormalizedPolyKernel,weka.classifiers.functions.supportVector.NormalizedPolyKernel-E,weka.classifiers.functions.supportVector.NormalizedPolyKernel-L,weka.classifiers.functions.supportVector.Puk,weka.classifiers.functions.supportVector.Puk-O,weka.classifiers.functions.supportVector.Puk-S,weka.classifiers.functions.supportVector.RBFKernel,weka.classifiers.functions.supportVector.RBFKernel-G,predicted_F1,predicted_model_size_log
0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,89.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.8932547569274902,15.198946952819824
0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,20.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.885999858379364,14.875791549682617
0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,45.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.8847273588180542,15.025166511535645
